2022-03-23 07:46:27,524 [Worker-3: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2022-03-23 07:51:57,940 [Worker-4: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2022-03-23 08:29:32,457 [Worker-15: Creating project "org.Magnitia.RestAssured"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.Magnitia:org.Magnitia.RestAssured:0.0.1-SNAPSHOT @ D:\API_Testing\Rest_Assured\org.Magnitia.RestAssured\pom.xml.
2022-03-23 08:29:33,159 [Worker-15: Creating project "org.Magnitia.RestAssured"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /org.Magnitia.RestAssured/src/main/java
2022-03-23 08:29:33,162 [Worker-15: Creating project "org.Magnitia.RestAssured"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /org.Magnitia.RestAssured/src/main/resources
2022-03-23 08:29:33,164 [Worker-15: Creating project "org.Magnitia.RestAssured"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /org.Magnitia.RestAssured/src/test/java
2022-03-23 08:29:33,164 [Worker-15: Creating project "org.Magnitia.RestAssured"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /org.Magnitia.RestAssured/src/test/resources
2022-03-23 08:29:34,717 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-03-23 08:29:34,723 [Worker-2: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-03-23 08:29:34,725 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-03-23 08:29:34,727 [Worker-2: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-03-23 08:46:02,799 [Worker-16: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-03-23 08:46:02,814 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-03-23 08:46:02,818 [Worker-16: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-03-23 08:46:02,821 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-03-23 08:46:09,259 [Worker-15: Rebuilding] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-03-23 08:46:09,299 [Worker-15: Rebuilding] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-03-23 08:46:09,303 [Worker-15: Rebuilding] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-03-23 08:46:09,307 [Worker-15: Rebuilding] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-03-28 07:58:09,111 [Worker-4: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2022-03-28 07:58:20,178 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-03-28 07:58:20,215 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-03-28 07:58:20,218 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-03-28 07:58:20,220 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-03-28 07:58:58,284 [Worker-3: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.Magnitia:org.Magnitia.RestAssured:0.0.1-SNAPSHOT @ D:\API_Testing\Rest_Assured\org.Magnitia.RestAssured\pom.xml.
